Sample	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates
HCATisStab7413619_S1_L001_I1_001	77906838.0	8	51.0	8.0	30.0	99.99946474531542
HCATisStab7413619_S1_L001_R1_001	77906838.0	26	48.0	26.0	0.0	16.076451596516023
HCATisStab7413619_S1_L001_R2_001	77906838.0	98	48.0	98.0	30.0	68.303540134153
HCATisStab7413620_S1_L001_I1_001	252447913.0	8	53.0	8.0	30.0	99.99977262636352
HCATisStab7413620_S1_L001_R1_001	252447913.0	74	27.0	57.327970740641454	20.0	28.890864721947665
HCATisStab7413620_S1_L001_R2_001	252447913.0	75	47.0	82.98868068677596	70.0	99.92998958713446
HCATisStab7413621_S1_L001_I1_001	264284157.0	8	52.0	8.0	30.0	99.99976918782914
HCATisStab7413621_S1_L001_R1_001	264284157.0	74	27.0	57.403016382854915	20.0	15.854500481409588
HCATisStab7413621_S1_L001_R2_001	264284157.0	75	47.0	82.95272131654869	70.0	99.93327636216391
HCATisStab7413622_S1_L001_I1_001	271108235.0	8	50.0	8.0	30.0	99.99976614506011
HCATisStab7413622_S1_L001_R1_001	271108235.0	74	28.0	57.313899291919334	20.0	16.288670405396516
HCATisStab7413622_S1_L001_R2_001	271108235.0	75	47.0	82.99542325595532	70.0	99.9346652554766
HCATisStab7587201_S1_L001_I1_001	208115400.0	8	52.0	8.0	40.0	99.9995728331493
HCATisStab7587201_S1_L001_R1_001	208115400.0	26	48.0	26.0	0.0	37.59953080574938
HCATisStab7587201_S1_L001_R2_001	208115400.0	96	48.0	96.0	20.0	76.48183218591137
HCATisStab7587204_S1_L001_I1_001	172765084.0	8	45.0	8.0	40.0	99.99955141398826
HCATisStab7587204_S1_L001_R1_001	172765084.0	26	48.0	26.0	0.0	42.89367990206922
HCATisStab7587204_S1_L001_R2_001	172765084.0	96	48.0	96.0	20.0	79.10979345809541
HCATisStab7587207_S1_L001_I1_001	178454065.0	8	49.0	8.0	20.0	99.99953153210603
HCATisStab7587207_S1_L001_R1_001	178454065.0	26	48.0	26.0	0.0	39.06513179780065
HCATisStab7587207_S1_L001_R2_001	178454065.0	96	47.0	96.0	20.0	76.3436474973814
HCATisStab7587210_S1_L001_I1_001	176672536.0	8	55.0	8.0	40.0	99.99950246935947
HCATisStab7587210_S1_L001_R1_001	176672536.0	26	48.0	26.0	10.0	50.391043687255156
HCATisStab7587210_S1_L001_R2_001	176672536.0	96	48.0	96.0	20.0	72.76657721760485
HCATisStab7619064_S1_L001_I1_001	163416312.0	8	52.0	8.0	30.0	99.99957287005718
HCATisStab7619064_S1_L001_R1_001	163416312.0	26	48.0	26.0	0.0	24.226681393762718
HCATisStab7619064_S1_L001_R2_001	163416312.0	96	46.0	96.0	30.0	52.20085403445932
HCATisStab7619065_S1_L001_I1_001	158284153.0	8	52.0	8.0	30.0	99.99958429192846
HCATisStab7619065_S1_L001_R1_001	158284153.0	26	48.0	26.0	0.0	23.3804310985536
HCATisStab7619065_S1_L001_R2_001	158284153.0	96	45.0	96.0	30.0	56.53237776673441
HCATisStab7619066_S1_L001_I1_001	138039727.0	8	52.0	8.0	30.0	99.99954360964507
HCATisStab7619066_S1_L001_R1_001	138039727.0	26	48.0	26.0	0.0	47.95216204696536
HCATisStab7619066_S1_L001_R2_001	138039727.0	96	45.0	96.0	30.0	58.56188058651083
HCATisStab7619067_S1_L001_I1_001	176197725.0	8	53.0	8.0	30.0	99.99961293484351
HCATisStab7619067_S1_L001_R1_001	176197725.0	26	48.0	26.0	0.0	23.93469185094041
HCATisStab7619067_S1_L001_R2_001	176197725.0	96	45.0	96.0	30.0	60.509126517476155
HCATisStab7646028_S1_L001_I1_001	173821167.0	8	46.0	8.0	40.0	99.99977102903699
HCATisStab7646028_S1_L001_R1_001	173821167.0	26	48.0	26.0	0.0	27.176896399054442
HCATisStab7646028_S1_L001_R2_001	173821167.0	96	48.0	96.0	20.0	66.87033399435533
HCATisStab7646029_S1_L001_I1_001	185257807.0	8	52.0	8.0	30.0	99.99977814700138
HCATisStab7646029_S1_L001_R1_001	185257807.0	26	48.0	26.0	0.0	32.5703442456298
HCATisStab7646029_S1_L001_R2_001	185257807.0	96	48.0	96.0	20.0	66.58466059778694
HCATisStab7646030_S1_L001_I1_001	168390082.0	8	49.0	8.0	20.0	99.99975057913447
HCATisStab7646030_S1_L001_R1_001	168390082.0	26	48.0	26.0	0.0	22.482201994468454
HCATisStab7646030_S1_L001_R2_001	168390082.0	96	48.0	96.0	20.0	67.82308134112355
HCATisStab7646031_S1_L001_I1_001	178655366.0	8	49.0	8.0	20.0	99.99976994813579
HCATisStab7646031_S1_L001_R1_001	178655366.0	26	48.0	26.0	10.0	71.9221164534199
HCATisStab7646031_S1_L001_R2_001	178655366.0	96	48.0	96.0	20.0	64.10431531533774
HCATisStabAug177184858_S1_L001_I1_001	204483667.0	8	52.0	8.0	30.0	99.99956231223103
HCATisStabAug177184858_S1_L001_R1_001	204483667.0	26	50.0	26.0	0.0	37.94910338167939
HCATisStabAug177184858_S1_L001_R2_001	204483667.0	98	47.0	98.0	20.0	77.23706827289467
HCATisStabAug177184862_S1_L001_I1_001	185743897.0	8	49.0	8.0	20.0	99.99954668766317
HCATisStabAug177184862_S1_L001_R1_001	185743897.0	26	50.0	26.0	0.0	24.289799872144442
HCATisStabAug177184862_S1_L001_R2_001	185743897.0	98	47.0	98.0	20.0	74.60957970778061
HCATisStabAug177184863_S1_L001_I1_001	176698405.0	8	53.0	8.0	30.0	99.9995421577235
HCATisStabAug177184863_S1_L001_R1_001	176698405.0	26	50.0	26.0	0.0	35.24408710510126
HCATisStabAug177184863_S1_L001_R2_001	176698405.0	98	47.0	98.0	20.0	73.9832802039833
HCATisStabAug177376562_S1_L001_I1_001	210185767.0	8	54.0	8.0	30.0	99.9996189085439
